alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_nom_fr,Energie ,Eau ,Proteines ,Glucides ,Lipides ,Sucres ,Amidon ,Fibres_alimentaires ,Cholesterol ,sel ,Calcium ,Fer ,Iode ,Beta_Carotene ,VitamineD ,VitamineE ,VitamineC ,VitamineB1 ,VitamineB12 
entrées et plats composés,salades composées et crudités,-,"Céleri rémoulade, préemballé",-,"78,5","1,12","4,19","12,8","2,38","1,3","2,87","0,1",1,"28,6","0,29",2,< 8,"< 0,5","3,4","25,2","< 0,04","< 0,08"
entrées et plats composés,salades composées et crudités,-,"Salade de thon et légumes, appertisée, égouttée",-,"76,5","9,15","7,74","4,7","3,08","4,1","2,7","19,2","1,11","20,7","1,1",2,-,"< 0,5","1,6","2,75","< 0,04","1,45"
entrées et plats composés,salades composées et crudités,-,"Salade composée avec viande ou poisson, appertisée, égouttée",-,"76,7","8,06","6,4","5,3","1,9","3,3",2,"15,2","0,95",22,"0,7",< 20,781,"0,44","2,04",-,"0,032","1,23"
entrées et plats composés,salades composées et crudités,-,Champignon à la grecque,-,"84,6","2,08","3,95","3,55","2,38","0,28","2,35","0,11","1,26","22,6","0,58","1,91",747,0,"1,47","10,3","0,062","0,018"
entrées et plats composés,salades composées et crudités,-,Salade de pommes de terre maison,-,76,"2,68","9,9","8,2",-,-,"1,3",68,"1,33",19,"0,65",-,36,0,-,10,"0,077",0
entrées et plats composés,salades composées et crudités,-,"Taboulé ou Salade de couscous, préemballé",-,"66,4","4,29","22,2","5,65","3,82",13,"2,27","0,1","0,91","19,9","0,72",2,-,0,"1,68","14,5","0,09",0
entrées et plats composés,salades composées et crudités,-,"Salade de pomme de terre à la piémontaise, préemballée",-,"74,9","4,11","7,98","9,28","1,17",-,"1,51","34,2","0,97",-,-,"7,5",-,"0,5","2,07","7,62",-,-
entrées et plats composés,salades composées et crudités,-,Salade de riz,-,"72,5","5,13","16,1","4,35",1,"14,3","1,7","6,5","1,1","23,3","0,43",< 5,34,"< 0,5","1,63","4,48","0,058","0,43"
entrées et plats composés,salades composées et crudités,-,"Salade de pâtes, végétarienne",-,"73,9","5,7","12,9","8,1","2,3",10,"1,7",6,"0,58",14,"0,6",4,1180,0,"1,95",21,"0,04",0
entrées et plats composés,salades composées et crudités,-,"Crudité, sans assaisonnement (aliment moyen)","22,3","93,7","1,03","2,5","0,53","2,01","0,25","1,51","0,059","0,037","27,3","0,46","1,92",1770,"0,074","0,47","14,6","0,044",0
entrées et plats composés,salades composées et crudités,-,"Salade de pâtes aux légumes, avec poisson ou viande",-,"70,3","5,19",14,"9,94","2,16","7,58","1,98",11,"0,95","18,5","0,69","3,13",494,"0,23","0,55","5,56","0,069","0,23"
entrées et plats composés,salades composées et crudités,-,"Salade César au poulet (salade verte, fromage, croûtos, sauce)",151,"71,8","8,13","4,88",10,"1,71","3,17",2,"40,7","0,75",100,"0,5",< 20,627,"< 0,25","2,24","1,11","0,096","0,48"
entrées et plats composés,salades composées et crudités,-,"Salade de chou ou Coleslaw, avec sauce, préemballée",105,"80,4","0,94","5,78","8,1","4,72","< 0,35",3,-,"0,88",39,"1,3",< 20,1340,"< 0,25","2,21","21,6","0,026",-
entrées et plats composés,salades composées et crudités,-,"Taboulé ou Salade de couscous au poulet, préemballé",-,"62,6","6,4","20,6","7,45","2,48","16,6","2,02","8,24","1,05",18,"0,8",< 20,135,"< 0,25","1,48","< 0,5","0,14","0,1"
entrées et plats composés,soupes,-,"Soupe aux lentilles, préemballée à réchauffer","53,2","85,8","3,28","6,6","1,12","0,7",-,"1,8",3,"0,36",25,"1,07",4,430,-,0,"1,7","0,07","0,12"
entrées et plats composés,soupes,-,"Soupe à la volaille et aux légumes, préemballée à réchauffer","30,8",-,"3,09","2,6","0,8","1,2",-,"0,4",-,"1,75",-,-,-,-,-,-,-,-,"0,11"
entrées et plats composés,soupes,-,"Soupe aux légumes variés, préemballée à réchauffer","39,4","90,2","0,76","5,05","1,56","1,72","2,2","1,1","3,7","0,69",14,"0,14",< 20,1710,0,"0,62","5,75","0,29","0,052"
entrées et plats composés,soupes,-,"Soupe de poissons et / ou crustacés, préemballée à réchauffer","42,8","89,4","3,45","2,88","1,79","0,9","1,7","0,69",30,"0,86",130,"0,61",70,446,"< 0,2","0,32","< 0,5","0,03","1,35"
entrées et plats composés,soupes,-,"Soupe aux légumes variés, déshydratée reconstituée","34,5","90,9","0,86","4,43","1,22","1,07","2,6","1,16","2,12","0,69",21,"0,19",1,261,0,"0,19","3,28","0,05","0,029"
entrées et plats composés,soupes,-,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer","37,1","90,8","0,79","4,46","1,51","0,81","3,2","1,28","4,73","0,73",16,"0,17",< 20,120,-,"0,28","7,95","0,01","0,045"
entrées et plats composés,soupes,-,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer","30,8","93,5","1,3","3,86",1,"0,77",-,"0,56",5,"0,82","7,96","0,14","0,5",119,0,"0,03",-,"0,055","0,02"
entrées et plats composés,soupes,-,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer","5,78","98,1","0,44","0,1","0,4",0,"0,1",0,0,"1,08",1,"0,1",-,-,-,-,0,"0,06","0,05"
entrées et plats composés,soupes,-,"Soupe à l'oignon, préemballée à réchauffer","40,4","92,7","1,35","4,93","1,4","1,5",-,"1,34",0,"0,79",12,"0,27",-,1,0,"0,11","0,5","0,013",0
entrées et plats composés,soupes,-,"Soupe aux champignons, préemballée à réchauffer","48,2",92,"0,81","4,09","3,07","0,91",-,"0,52","3,3","0,78",7,"0,09","8,4",0,"0,1","0,24",-,"0,006",0
entrées et plats composés,soupes,-,"Soupe à la carotte, préemballée à réchauffer","33,2","91,2","0,61","3,89","1,41","1,82","2,08","1,22",-,"0,65",15,"0,3",-,3500,-,-,11,"0,05",-
entrées et plats composés,soupes,-,"Soupe à la tomate, préemballée à réchauffer","38,7","90,3","0,74","6,27","0,99","2,95","1,8","0,88","2,9","0,64",11,"0,14",< 20,1680,"0,6","0,69","6,4","0,01","0,01"
entrées et plats composés,soupes,-,"Soupe chorba frik, à base de viande et de frik","62,9","85,1","3,75","5,4","2,5","0,9","3,9","1,9",11,"0,84",19,"0,97",2,172,"0,02","0,6","3,2","0,03","0,11"
entrées et plats composés,soupes,-,"Soupe minestrone, préemballée à réchauffer","48,8","89,4","1,2","5,6",2,"1,7",-,"1,8","1,5","0,75","33,3","0,56",1,885,0,"0,67","1,25","0,023",0
entrées et plats composés,soupes,-,"Soupe au pistou, déshydratée reconstituée","30,4","88,2","1,2","5,2","0,35","1,2",4,"0,8",1,"0,64",19,"0,4",1,900,-,"0,2",7,-,-
entrées et plats composés,soupes,-,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",29,"90,6","0,91","5,09","0,5","1,06",-,"0,21",-,"0,63",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe asiatique, avec pâtes, déshydratée reconstituée","29,8","93,3","0,97","5,25","0,44","1,21",-,"0,49",-,"0,84",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe marocaine, déshydratée reconstituée","34,3",90,"1,2","5,77","0,55","1,49",-,"0,72",-,"0,8",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée","26,1","92,8","0,63","4,84","0,41","0,91",-,"0,28",-,"0,72",-,-,-,90,-,-,30,"0,07",-
entrées et plats composés,soupes,-,"Soupe à la volaille et aux légumes, déshydratée reconstituée","27,3",-,"0,99","4,58","0,44","0,55",-,"0,51",-,"0,73",-,-,-,-,-,-,3,-,-
entrées et plats composés,soupes,-,"Bouillon de boeuf, déshydraté reconstitué","9,05","97,6","0,6","1,33","0,15","0,33",0,0,0,"0,74","5,25","0,15",-,0,0,"0,01",0,"0,0029","0,065"
